Fund Custody Code / SARA code;CashFlow Type Id;CashFlow Type Description;Account Currency(ISO);Confirmed Amount Local ccy;Confirmed Amount Fund ccy;Projected Amount Local ccy;Projected Amount Fund ccy;Trade Date;Creation Date;Settlement Date;ReportDate;MF code;Fund Manager Identifier;Fund Administration Code;Fund name;External Fund Reference
35S;TA;SHS Net Inflow/Outflow;EUR;29273.24;29273.24;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3019;Z8719429;SCA;EMERGING MARKETS COLLECTION S FD A;DB3019Z8719429
38G;TA;SHS Net Inflow/Outflow;EUR;85976.01;85976.01;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3015;Z8719429;LHC;GLOBAL HIGH YIELD L FD A HEDGED;DB3015Z8719429
38H;TA;SHS Net Inflow/Outflow;EUR;103323.17;103323.17;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3015;Z8719429;SHC;GLOBAL HIGH YIELD S FD A HEDGED;DB3015Z8719429
38S;TA;SHS Net Inflow/Outflow;EUR;79732.07;79732.07;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3015;Z8719429;SCA;GLOBAL HIGH YIELD S FD A;DB3015Z8719429
39G;TA;SHS Net Inflow/Outflow;EUR;159153.45;159153.45;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3015;Z8719429;LHD;GLOBAL HIGH YIELD L FD B HEDGED;DB3015Z8719429
39H;TA;SHS Net Inflow/Outflow;EUR;656607.3;656607.3;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3015;Z8719429;SHD;GLOBAL HIGH YIELD S FD B HEDGED;DB3015Z8719429
39S;TA;SHS Net Inflow/Outflow;EUR;92491.92;92491.92;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3015;Z8719429;SDI;GLOBAL HIGH YIELD S FD B;DB3015Z8719429
40S;TA;SHS Net Inflow/Outflow;EUR;736.12;736.12;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3020;Z8719429;S;GLOBAL TECH COLLECTION S FD A;DB3020Z8719429
43S;TA;SHS Net Inflow/Outflow;EUR;4443.13;4443.13;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3896;Z8719429;SCA;CHALLENGE GERMAN EQUITY S FUND A RETAIL CLASS;DB3896Z8714205
45S;TA;SHS Net Inflow/Outflow;EUR;12580.42;12580.42;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3888;Z8719429;SCA;CHALLENGE ENERGY EQUITY S FUND A RETAIL CLASS;DB3888Z8719429
46S;TA;SHS Net Inflow/Outflow;EUR;-7484.5;-7484.5;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3789;Z8719429;SCA;CHALLENGE CYCLICAL EQUITY S FUND A RETAIL CLASS;DB3789Z8719429
49S;TA;SHS Net Inflow/Outflow;EUR;8132.89;8132.89;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3784;Z8719429;SCA;CHALLENGE COUNTER CYCLICAL EQUITY S FUND A RETAIL CLASS;DB3784Z8719429
50S;TA;SHS Net Inflow/Outflow;EUR;90406.37;90406.37;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3787;Z8719429;SCA;CHALLENGE FINANCIAL EQUITY S FUND A RETAIL CLASS;DB3787Z8719429
52S;TA;SHS Net Inflow/Outflow;EUR;-13949.46;-13949.46;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3785;Z8719429;SCA;CHALLENGE TECHNOLOGY EQUITY S FUND A RETAIL CLASS;DB3785Z8719429
53S;TA;SHS Net Inflow/Outflow;EUR;-120475.81;-120475.81;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3890;Z8719429;SCA;CHALLENGE LIQUIDITY US DOLLAR S FUND A RETAIL CLASS;DB3890Z9397076
65S;TA;SHS Net Inflow/Outflow;EUR;49097.81;49097.81;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB4223;Z8719429;SCA;CHALLENGE INTERNATIONAL EQUITY S FUND A RETAIL CLASS;DB4223Z8719429
66S;TA;SHS Net Inflow/Outflow;EUR;1460.39;1460.39;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB4221;Z8719429;SCA;CHALLENGE SPAIN EQUITY S FUND A RETAIL CLASS;DB4221Z5965004
72S;TA;SHS Net Inflow/Outflow;EUR;-1607.28;-1607.28;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB2374;Z8719429;SCA;CHALLENGE FLEXIBLE FUND S CLASS;DB2374Z8719429
