Fund Custody Code / SARA code;CashFlow Type Id;CashFlow Type Description;Account Currency(ISO);Confirmed Amount Local ccy;Confirmed Amount Fund ccy;Projected Amount Local ccy;Projected Amount Fund ccy;Trade Date;Creation Date;Settlement Date;ReportDate;MF code;Fund Manager Identifier;Fund Administration Code;Fund name;External Fund Reference
192;TA;SHS Net Inflow/Outflow;EUR;0;0;3778.82;3778.82;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB6215;Z8719429;SDI;EQUILIBRIUM S B EURO;DB6215Z8719429
193;TA;SHS Net Inflow/Outflow;EUR;0;0;-9500;-9500;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB6215;Z8719429;SHC;EQUILIBRIUM S HEDGED A EURO;DB6215Z8719429
194;TA;SHS Net Inflow/Outflow;EUR;0;0;-24989.95;-24989.95;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB6215;Z8719429;SHD;EQUILIBRIUM S HEDGED B EURO;DB6215Z8719429
22S;TA;SHS Net Inflow/Outflow;EUR;0;0;14000;14000;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB8818;Z8719429;SCA;CHALLENGE EURO BOND S FUND A RETAIL CLASS;DB8818Z9397076
23S;TA;SHS Net Inflow/Outflow;EUR;0;0;-944.54;-944.54;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB8818;Z8719429;SDI;CHALLENGE EURO BOND S FUND B RETAIL CLASS;DB8818Z9397076
24S;TA;SHS Net Inflow/Outflow;EUR;0;0;326.52;326.52;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB8819;Z8719429;SCA;CHALLENGE LIQUIDITY EURO S FUND A RETAIL CLASS;DB8819Z8719429
26S;TA;SHS Net Inflow/Outflow;EUR;0;0;-5116.41;-5116.41;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB8820;Z8719429;SCA;CHALLENGE EUROPEAN INCOME S FUND A RETAIL CLASS;DB8820Z9397076
27S;TA;SHS Net Inflow/Outflow;EUR;0;0;28500;28500;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB8820;Z8719429;SDI;CHALLENGE EUROPEAN INCOME S FUND B RETAIL CLASS;DB8820Z9397076
28S;TA;SHS Net Inflow/Outflow;EUR;0;0;-1000;-1000;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5199;Z8719429;SHC;CHALLENGE INTERNATIONAL INCOME HEDGED S FUND A RETAIL CLASS;DB5199Z9397076
30S;TA;SHS Net Inflow/Outflow;EUR;0;0;-3500;-3500;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5200;Z8719429;SHC;CHALLENGE INTERNATIONAL BOND HEDGED S FUND A RETAIL CLASS;DB5200Z9397076
32G;TA;SHS Net Inflow/Outflow;EUR;0;0;-20767.66;-20767.66;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB3014;Z8719429;LHC;US COLLECTION L FD A HEDGED;DB3014Z8719429
32H;TA;SHS Net Inflow/Outflow;EUR;0;0;4000;4000;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB3014;Z8719429;SHC;US COLLECTION S FD A HEDGED;DB3014Z8719429
32S;TA;SHS Net Inflow/Outflow;EUR;0;0;35733.41;35733.41;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB3014;Z8719429;SCA;US COLLECTION S FD A;DB3014Z8719429
33G;TA;SHS Net Inflow/Outflow;EUR;0;0;81271.76;81271.76;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB3018;Z8719429;LHC;EUROPEAN COLLECTION L FD A HED;DB3018Z8719429
33H;TA;SHS Net Inflow/Outflow;EUR;0;0;167050.6;167050.6;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB3018;Z8719429;SHC;EUROPEAN COLLECTION S FD A HED;DB3018Z8719429
33S;TA;SHS Net Inflow/Outflow;EUR;0;0;41736.8;41736.8;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB3018;Z8719429;SCA;EUROPEAN COLLECTION S FD A;DB3018Z8719429
