Fund Custody Code;External Fund Identifier;PTG Name;Trade Date;Settlement Date;Maturity Date;Transaction ID;Fund Manager Reference;Transaction Type;Transaction Description;Reversal Flag;Security Name;Collateral Counterparty Name;ISIN Code;Security Description;Quantity;Currency;Price;Gross Amount;Interest;Brokerage;Tax;Expenses;Net Amount;Buy Currency;Purchase Amount;Sell Currency;Sold Amount;FX Rate;Deposit Amount;Deposit Rate;No. of Days;Collateral Counterparty BIC Code;Fund Manager BIC Code;Bloomberg Code
20225;19053Z5908260COLIN;CHALLENGE NORTH AMER EQY COLLAT-MSI;16/05/2017;16/05/2017;;020225EE00006000;SWBC 4421970-3341358;EE;CASH DIRECT ENTRY;N;;MORGAN STANLEY AND CO. INTL PLC;;;0;EUR;0;0;0;0;0;0;130000;;0;;0;0;0;0;0;MSLNGB2X;;
19793;19044Z5908260COLIN;CH SOLIDITY & RETURN FUND-COLL-GSI;16/05/2017;17/05/2017;;019793EE00011000;SWBC 4421929-3341362;EE;CASH DIRECT ENTRY;N;;GOLDMAN SACHS INTERNATIONAL;;;0;EUR;0;0;0;0;0;0;280000;;0;;0;0;0;0;0;GSILGB2X;;
15219;15159Z5908260COLIN;MEDIO M STANLEY GBL SLTN COLLATERAL;15/05/2017;16/05/2017;;015219EE00018000;SWBC 4420750-3340169;EE;CASH DIRECT ENTRY;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;650000;;0;;0;0;0;0;0;FETALULL;;
15222;19051Z5908260COLIN;CHALLENGE INT INCOME FD COLLATERAL;15/05/2017;16/05/2017;;015222EE00018000;SWBC 4420763-3340165;EE;CASH DIRECT ENTRY;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;510000;;0;;0;0;0;0;0;FETALULL;;
15218;15160Z5908260COLIN;MED JP MORGAN GLBL SLTN COLLATERAL;15/05/2017;16/05/2017;;015218EE00016000;SWBC 4420747-3340191;EE;CASH DIRECT ENTRY;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;460000;;0;;0;0;0;0;0;FETALULL;;
4191;880Z8719429COLOUT;GLOBAL HIGH YIELD FUND MAML;16/05/2017;16/05/2017;;004191TPA1394000;SWCC 4420058-3339410;TP;CASH TRANSFER BETWEEN PORTFOLIOS;N;;BANK OF AMERICA NA;;;0;EUR;0;0;0;0;0;0;370000;;0;;0;0;0;0;0;BOFAGB22;;
14018;13883Z5970552COLOUT;MEDIO PIMCO INFLATION STRAT SLTN;16/05/2017;17/05/2017;;014018TP00601000;SWCC 000700700012793;TP;CASH TRANSFER BETWEEN PORTFOLIOS;N;;CITIBANK NA;;;0;EUR;0;0;0;0;0;0;280000;;0;;0;0;0;0;0;CITIGB2L;;
4192;1248Z8719429COLOUT;GLOBAL TECH COLLECTION CASH;08/05/2017;08/05/2017;;004192SEA0076000;;SE;CASH WITHDRAWAL;N;;MORGAN STANLEY AND CO. INTL PLC;;;0;EUR;0;0;0;0;0;0;-20000;;0;;0;0;0;0;0;MSLNGB2X;;
15218;15160Z5908260COLIN;MED JP MORGAN GLBL SLTN COLLATERAL;16/05/2017;17/05/2017;;015218EE00017000;SWBC 4422601-3342053;EE;CASH DIRECT ENTRY;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;520000;;0;;0;0;0;0;0;FETALULL;;
17542;17169Z5970552COLIN;MEDIO PIMCO INFL/14018/GOLD/COL OTC;17/05/2017;18/05/2017;;017542EE00012000;SWBC 000700700012809;EE;CASH DIRECT ENTRY;N;;GOLDMAN SACHS INTERNATIONAL;;;0;EUR;0;0;0;0;0;0;260000;;0;;0;0;0;0;0;GSILGB2X;;
19589;15162Z5908260COLIN;EQUITY POWER CPN COLLECT -COLL-MSI;17/05/2017;17/05/2017;;019589EE00002000;SWBC 4424219-3343625;EE;CASH DIRECT ENTRY;N;;MORGAN STANLEY AND CO. INTL PLC;;;0;EUR;0;0;0;0;0;0;130000;;0;;0;0;0;0;0;MSLNGB2X;;
